datas,labels
"[[[100 114 166]
  [ 77  90 130]
  [ 45  56  80]
  ...
  [123 121 127]
  [145 141 147]
  [160 156 161]]

 [[ 73  82 129]
  [ 50  58  89]
  [ 19  25  37]
  ...
  [170 162 163]
  [184 176 175]
  [194 186 183]]

 [[ 37  43  84]
  [ 23  27  51]
  [  3   6  10]
  ...
  [209 197 195]
  [216 205 200]
  [220 210 203]]

 ...

 [[  8   6   6]
  [ 10   6   4]
  [ 13   6   3]
  ...
  [ 13  10  19]
  [ 19  16  25]
  [ 24  21  30]]

 [[ 10   7   6]
  [ 10   6   4]
  [ 10   3   1]
  ...
  [ 15  12  21]
  [ 22  18  28]
  [ 27  23  33]]

 [[ 12   8   7]
  [ 11   5   4]
  [  9   2   0]
  ...
  [ 15  12  21]
  [ 23  19  29]
  [ 28  24  35]]]",[1. 0. 0.]
"[[[145 146 142]
  [ 88  90  87]
  [ 30  32  30]
  ...
  [ 38  48  66]
  [ 30  38  55]
  [ 23  30  47]]

 [[120 121 117]
  [ 61  63  60]
  [  7   9   7]
  ...
  [ 37  48  65]
  [ 29  37  53]
  [ 22  27  43]]

 [[114 115 111]
  [ 57  59  56]
  [  5   8   6]
  ...
  [ 33  45  62]
  [ 25  34  50]
  [ 19  24  39]]

 ...

 [[ 88  82  83]
  [ 88  82  82]
  [ 90  84  85]
  ...
  [ 18  47  79]
  [ 24  46  77]
  [ 29  44  76]]

 [[ 82  76  77]
  [ 82  76  76]
  [ 84  77  79]
  ...
  [ 23  54  84]
  [ 26  49  80]
  [ 29  44  75]]

 [[ 76  70  71]
  [ 78  72  73]
  [ 80  74  75]
  ...
  [ 23  53  82]
  [ 27  50  78]
  [ 31  47  76]]]",[1. 0. 0.]
"[[[ 16  24  41]
  [ 19  28  47]
  [ 22  34  56]
  ...
  [ 68  58  58]
  [ 59  48  48]
  [ 54  44  44]]

 [[ 19  28  48]
  [ 25  36  58]
  [ 33  46  72]
  ...
  [ 79  67  67]
  [ 71  59  59]
  [ 65  53  53]]

 [[ 22  35  57]
  [ 32  45  71]
  [ 42  58  86]
  ...
  [ 89  75  76]
  [ 83  69  69]
  [ 76  61  62]]

 ...

 [[190 202 212]
  [191 203 213]
  [192 204 214]
  ...
  [140 141 155]
  [151 152 166]
  [156 158 169]]

 [[192 204 214]
  [192 204 214]
  [193 205 215]
  ...
  [139 139 154]
  [150 151 165]
  [155 157 168]]

 [[194 206 216]
  [194 206 216]
  [194 206 216]
  ...
  [136 137 151]
  [149 150 164]
  [155 157 168]]]",[1. 0. 0.]
"[[[ 24  44  75]
  [ 24  45  76]
  [ 25  46  77]
  ...
  [ 99 112 135]
  [ 65  76  93]
  [ 44  53  66]]

 [[ 29  40  67]
  [ 30  41  69]
  [ 30  44  72]
  ...
  [106 116 136]
  [ 76  83  99]
  [ 57  62  76]]

 [[ 30  34  59]
  [ 29  36  61]
  [ 28  38  65]
  ...
  [104 111 130]
  [ 78  83  99]
  [ 62  65  79]]

 ...

 [[ 24  43  87]
  [ 24  43  86]
  [ 23  42  84]
  ...
  [181 195 215]
  [181 195 215]
  [181 195 215]]

 [[ 28  43  84]
  [ 28  43  84]
  [ 27  44  83]
  ...
  [180 193 211]
  [180 193 212]
  [181 194 213]]

 [[ 31  44  82]
  [ 31  44  81]
  [ 31  45  81]
  ...
  [175 187 205]
  [177 189 207]
  [178 190 208]]]",[1. 0. 0.]
"[[[ 63  59  65]
  [ 49  48  56]
  [ 33  35  46]
  ...
  [  7   9   7]
  [  9   9   8]
  [ 11   9   9]]

 [[ 64  60  66]
  [ 49  48  57]
  [ 33  34  46]
  ...
  [  8   9   7]
  [  9   8   7]
  [ 10   9   8]]

 [[ 66  62  68]
  [ 50  49  57]
  [ 32  33  45]
  ...
  [  8   8   6]
  [  9   7   7]
  [ 10   8   7]]

 ...

 [[ 77  88 115]
  [ 75  86 114]
  [ 75  85 113]
  ...
  [ 21  19 135]
  [ 18  17 131]
  [ 16  16 128]]

 [[ 81  91 118]
  [ 76  86 113]
  [ 73  83 110]
  ...
  [ 24  18 134]
  [ 20  15 130]
  [ 17  11 126]]

 [[ 84  93 120]
  [ 77  86 113]
  [ 72  81 108]
  ...
  [ 27  18 134]
  [ 22  13 129]
  [ 18   9 125]]]",[0. 1. 0.]
"[[[  2   5  13]
  [  1   5  14]
  [  1   7  18]
  ...
  [  0   0   1]
  [  0   0   1]
  [  0   0   0]]

 [[  2   5  13]
  [  1   5  13]
  [  0   5  17]
  ...
  [  1   3   3]
  [  2   3   3]
  [  2   3   3]]

 [[  3   5  13]
  [  2   5  14]
  [  1   6  19]
  ...
  [  1   5   4]
  [  2   5   5]
  [  3   6   5]]

 ...

 [[253 237 227]
  [254 242 234]
  [254 246 241]
  ...
  [ 41  55  66]
  [ 23  33  38]
  [ 16  20  21]]

 [[251 236 226]
  [251 239 231]
  [248 239 233]
  ...
  [ 21  32  38]
  [  5  11  14]
  [  1   3   3]]

 [[244 228 222]
  [243 230 223]
  [235 225 217]
  ...
  [  8  12  11]
  [  1   3   3]
  [  4   6   6]]]",[1. 0. 0.]
"[[[ 25  29  47]
  [ 32  34  49]
  [ 37  38  50]
  ...
  [ 34  48  69]
  [ 17  30  47]
  [  5  14  28]]

 [[ 35  39  57]
  [ 39  42  57]
  [ 41  44  56]
  ...
  [ 47  66  89]
  [ 33  48  69]
  [ 18  31  48]]

 [[ 42  47  65]
  [ 43  48  63]
  [ 42  46  58]
  ...
  [ 57  79 107]
  [ 47  65  90]
  [ 33  49  69]]

 ...

 [[ 46  48  41]
  [ 34  35  35]
  [ 30  32  39]
  ...
  [ 19  25  24]
  [ 28  33  32]
  [ 53  55  55]]

 [[ 64  64  58]
  [ 49  50  49]
  [ 39  41  45]
  ...
  [ 24  30  28]
  [ 33  38  36]
  [ 54  57  56]]

 [[ 56  55  57]
  [ 57  56  58]
  [ 54  55  56]
  ...
  [ 24  34  28]
  [ 36  45  39]
  [ 45  53  46]]]",[1. 0. 0.]
"[[[ 34  43  53]
  [ 31  45  62]
  [ 27  49  74]
  ...
  [ 17  26  36]
  [  7  15  23]
  [  0   8  15]]

 [[ 30  40  50]
  [ 28  43  59]
  [ 26  48  72]
  ...
  [ 20  29  40]
  [ 10  18  27]
  [  3  11  18]]

 [[ 23  35  45]
  [ 23  40  54]
  [ 23  47  67]
  ...
  [ 24  32  45]
  [ 14  22  32]
  [  8  16  23]]

 ...

 [[ 34  59 103]
  [ 35  60 108]
  [ 37  62 116]
  ...
  [ 72  95 145]
  [ 80 103 154]
  [ 85 109 161]]

 [[ 43  68 113]
  [ 41  67 116]
  [ 39  65 119]
  ...
  [ 79 102 152]
  [ 87 111 161]
  [ 92 117 168]]

 [[ 49  75 121]
  [ 46  72 121]
  [ 41  67 121]
  ...
  [ 84 107 157]
  [ 92 116 166]
  [ 98 123 173]]]",[1. 0. 0.]
"[[[ 65  83 124]
  [ 64  87 124]
  [ 63  94 125]
  ...
  [ 48  53  78]
  [ 54  58  83]
  [ 58  62  87]]

 [[ 64  81 123]
  [ 64  87 124]
  [ 64  95 126]
  ...
  [ 47  51  77]
  [ 53  57  83]
  [ 58  61  87]]

 [[ 62  79 122]
  [ 64  86 124]
  [ 66  97 128]
  ...
  [ 45  48  76]
  [ 52  56  82]
  [ 57  61  86]]

 ...

 [[ 95 114 149]
  [ 92 112 150]
  [ 88 110 152]
  ...
  [ 79  84  99]
  [ 47  51  66]
  [ 25  29  44]]

 [[ 91 108 142]
  [ 90 109 146]
  [ 89 110 151]
  ...
  [ 65  70  85]
  [ 37  41  56]
  [ 18  21  36]]

 [[ 88 105 138]
  [ 89 107 143]
  [ 90 110 151]
  ...
  [ 57  62  77]
  [ 31  35  50]
  [ 13  16  31]]]",[1. 0. 0.]
"[[[111 126 155]
  [112 128 160]
  [112 131 163]
  ...
  [ 15   9  19]
  [ 22  16  31]
  [ 29  23  42]]

 [[114 125 155]
  [110 125 155]
  [107 123 156]
  ...
  [ 12   7  16]
  [ 21  15  29]
  [ 29  23  42]]

 [[ 98 109 138]
  [ 93 104 131]
  [ 92 102 128]
  ...
  [ 11   8  11]
  [ 21  15  26]
  [ 29  22  38]]

 ...

 [[ 37  59 102]
  [ 43  66 112]
  [ 45  68 116]
  ...
  [ 77 111 190]
  [ 74 112 193]
  [ 73 116 196]]

 [[ 39  59 100]
  [ 46  66 110]
  [ 47  69 115]
  ...
  [ 69 105 181]
  [ 70 107 185]
  [ 72 112 191]]

 [[ 43  59  98]
  [ 49  67 109]
  [ 49  68 114]
  ...
  [ 69 112 185]
  [ 73 113 188]
  [ 78 117 194]]]",[1. 0. 0.]
"[[[ 80  99 155]
  [108 135 184]
  [100 136 183]
  ...
  [172 162 194]
  [177 166 197]
  [177 168 199]]

 [[ 82 103 159]
  [119 148 199]
  [124 163 215]
  ...
  [187 175 201]
  [191 180 206]
  [190 180 207]]

 [[ 90 116 176]
  [130 162 221]
  [112 149 207]
  ...
  [195 183 204]
  [196 186 208]
  [195 186 211]]

 ...

 [[ 80  97 137]
  [ 59  71 104]
  [ 33  36  62]
  ...
  [ 45  30  46]
  [ 39  26  44]
  [ 35  24  40]]

 [[ 53  71 110]
  [ 80  95 129]
  [ 41  44  74]
  ...
  [ 54  40  59]
  [ 27  13  35]
  [ 36  24  44]]

 [[ 45  61  98]
  [ 61  81 114]
  [ 59  74 110]
  ...
  [ 51  44  63]
  [ 34  27  43]
  [ 44  37  53]]]",[1. 0. 0.]
"[[[68 60 95]
  [52 42 74]
  [28 22 46]
  ...
  [12  4  8]
  [13  5  7]
  [13  5  9]]

 [[39 32 63]
  [36 29 58]
  [35 32 53]
  ...
  [13  6 10]
  [10  4  5]
  [10  3  6]]

 [[50 47 69]
  [31 28 49]
  [55 53 73]
  ...
  [17  9 13]
  [10  5  4]
  [10  3  6]]

 ...

 [[ 5  3  3]
  [ 5  3  3]
  [20 23 35]
  ...
  [ 9  5  6]
  [11  6  8]
  [ 8  3  6]]

 [[ 3  2  1]
  [ 6  4  4]
  [19 23 34]
  ...
  [ 7  4  5]
  [11  6  8]
  [10  5  7]]

 [[ 3  1  0]
  [ 4  4  4]
  [17 22 34]
  ...
  [ 6  3  4]
  [10  5  7]
  [14  9 11]]]",[1. 0. 0.]
"[[[ 85  91  98]
  [ 78  84  89]
  [ 71  77  83]
  ...
  [ 58 104 145]
  [ 63 106 149]
  [ 65 106 151]]

 [[ 80  85  94]
  [ 67  73  80]
  [ 68  74  80]
  ...
  [ 64 120 164]
  [ 68 122 167]
  [ 70 121 167]]

 [[ 76  81  91]
  [ 60  67  74]
  [ 68  74  80]
  ...
  [ 59 127 173]
  [ 64 128 176]
  [ 66 126 175]]

 ...

 [[ 93 115 151]
  [ 88 121 159]
  [ 84 121 160]
  ...
  [221 167 161]
  [213 160 155]
  [209 155 151]]

 [[ 93 117 153]
  [ 89 121 161]
  [ 81 118 160]
  ...
  [217 163 156]
  [215 160 154]
  [221 166 161]]

 [[ 89 111 146]
  [ 91 119 159]
  [ 89 120 162]
  ...
  [213 158 150]
  [208 154 147]
  [214 159 154]]]",[1. 0. 0.]
"[[[215 221 228]
  [202 208 217]
  [179 186 198]
  ...
  [ 83  88  96]
  [ 81  87  95]
  [ 79  86  95]]

 [[232 238 244]
  [223 230 240]
  [201 209 222]
  ...
  [ 89  94 102]
  [ 87  93 102]
  [ 85  93 102]]

 [[245 251 255]
  [240 247 254]
  [217 225 237]
  ...
  [ 95 100 107]
  [ 92  98 107]
  [ 91  98 107]]

 ...

 [[123 180 206]
  [148 203 226]
  [176 228 245]
  ...
  [ 69  80  94]
  [ 71  83  97]
  [ 73  86 100]]

 [[127 183 213]
  [156 211 235]
  [182 235 251]
  ...
  [ 68  80  95]
  [ 68  82  96]
  [ 70  84  99]]

 [[131 188 220]
  [163 219 242]
  [189 242 255]
  ...
  [ 65  77  93]
  [ 65  79  95]
  [ 66  81  97]]]",[1. 0. 0.]
"[[[194 199 208]
  [183 188 200]
  [169 174 190]
  ...
  [ 55  58  62]
  [ 52  54  57]
  [ 50  52  53]]

 [[188 192 200]
  [178 182 193]
  [167 171 186]
  ...
  [ 57  60  64]
  [ 54  56  60]
  [ 52  53  56]]

 [[188 188 194]
  [180 180 190]
  [170 172 187]
  ...
  [ 60  61  68]
  [ 58  58  64]
  [ 56  56  61]]

 ...

 [[231 229 224]
  [242 235 229]
  [251 239 231]
  ...
  [ 64  68  76]
  [ 69  71  78]
  [ 73  73  80]]

 [[255 254 242]
  [254 244 231]
  [249 229 213]
  ...
  [ 65  70  82]
  [ 71  73  84]
  [ 76  75  85]]

 [[255 251 233]
  [255 241 222]
  [249 224 204]
  ...
  [ 66  70  84]
  [ 72  72  85]
  [ 76  74  86]]]",[1. 0. 0.]
"[[[233 228 207]
  [231 225 208]
  [222 214 202]
  ...
  [ 36  41  40]
  [ 36  41  40]
  [ 36  41  40]]

 [[170 174 160]
  [167 169 160]
  [162 163 158]
  ...
  [ 37  42  42]
  [ 36  41  41]
  [ 36  41  40]]

 [[127 144 144]
  [124 138 143]
  [123 135 144]
  ...
  [ 36  42  43]
  [ 36  42  42]
  [ 36  41  40]]

 ...

 [[ 68 139 160]
  [ 78 156 185]
  [ 73 156 194]
  ...
  [ 65  69  72]
  [ 70  75  76]
  [ 75  80  80]]

 [[ 67 140 162]
  [ 75 155 186]
  [ 76 159 198]
  ...
  [ 67  71  77]
  [ 72  77  82]
  [ 72  79  81]]

 [[ 64 139 161]
  [ 73 154 185]
  [ 78 161 201]
  ...
  [ 68  71  81]
  [ 71  77  84]
  [ 68  77  81]]]",[1. 0. 0.]
"[[[ 43  47  48]
  [ 44  48  49]
  [ 45  50  51]
  ...
  [136 141 156]
  [127 133 147]
  [122 128 141]]

 [[ 41  45  46]
  [ 42  46  48]
  [ 43  48  50]
  ...
  [129 135 151]
  [121 128 143]
  [116 124 137]]

 [[ 39  44  44]
  [ 40  44  46]
  [ 40  45  48]
  ...
  [122 129 146]
  [116 124 139]
  [112 121 135]]

 ...

 [[176 137 102]
  [191 148 111]
  [215 165 126]
  ...
  [225 208 191]
  [222 205 187]
  [221 203 184]]

 [[191 148 112]
  [199 153 114]
  [213 160 118]
  ...
  [214 199 181]
  [205 188 170]
  [199 182 163]]

 [[200 155 117]
  [204 155 115]
  [210 156 111]
  ...
  [203 188 170]
  [190 174 156]
  [182 165 146]]]",[1. 0. 0.]
"[[[ 54  63  67]
  [ 50  57  62]
  [ 43  48  53]
  ...
  [ 65  75  75]
  [ 61  70  70]
  [ 59  67  67]]

 [[ 44  54  59]
  [ 43  51  56]
  [ 42  46  51]
  ...
  [ 77  85  87]
  [ 64  71  72]
  [ 56  62  63]]

 [[ 40  51  54]
  [ 40  49  53]
  [ 41  47  51]
  ...
  [ 90  95  99]
  [ 75  79  82]
  [ 66  70  72]]

 ...

 [[170 156 156]
  [168 155 155]
  [163 152 155]
  ...
  [151 150 130]
  [146 145 125]
  [143 143 123]]

 [[165 150 147]
  [160 146 146]
  [152 141 143]
  ...
  [161 157 140]
  [154 152 133]
  [150 148 129]]

 [[153 138 135]
  [154 140 139]
  [155 144 145]
  ...
  [167 163 147]
  [161 158 141]
  [157 155 137]]]",[1. 0. 0.]
"[[[ 52  58  63]
  [ 53  60  64]
  [ 53  62  65]
  ...
  [ 80  89 125]
  [109 119 156]
  [131 143 179]]

 [[ 54  60  65]
  [ 54  62  65]
  [ 54  62  65]
  ...
  [ 86  94 128]
  [113 123 157]
  [135 145 179]]

 [[ 57  65  68]
  [ 57  65  68]
  [ 56  64  67]
  ...
  [ 99 104 134]
  [123 130 159]
  [142 150 179]]

 ...

 [[ 51  56  50]
  [ 51  55  48]
  [ 51  55  47]
  ...
  [ 93 104 103]
  [ 88  97  95]
  [ 84  92  90]]

 [[ 47  53  47]
  [ 46  51  45]
  [ 46  50  43]
  ...
  [ 92 102 102]
  [ 83  91  90]
  [ 77  84  83]]

 [[ 45  51  46]
  [ 44  49  44]
  [ 43  47  41]
  ...
  [ 91 101 101]
  [ 81  89  88]
  [ 74  80  79]]]",[1. 0. 0.]
"[[[129 127  92]
  [135 130  97]
  [135 128  97]
  ...
  [ 79  86 104]
  [ 70  80  95]
  [ 62  73  87]]

 [[125 122  91]
  [127 123  93]
  [126 122  93]
  ...
  [ 80  87 101]
  [ 75  83  95]
  [ 69  78  87]]

 [[122 117  88]
  [121 118  89]
  [118 117  89]
  ...
  [ 85  90 101]
  [ 80  85  93]
  [ 73  79  84]]

 ...

 [[151 132 125]
  [148 127 119]
  [135 111 100]
  ...
  [ 69  69  83]
  [ 68  69  81]
  [ 68  69  79]]

 [[131 112 100]
  [128 106  92]
  [114  88  72]
  ...
  [ 68  68  84]
  [ 68  69  82]
  [ 68  69  79]]

 [[ 87  67  50]
  [ 83  61  41]
  [ 78  53  30]
  ...
  [ 67  68  84]
  [ 68  68  82]
  [ 67  69  80]]]",[1. 0. 0.]
"[[[202 151 102]
  [185 136  89]
  [141  98  56]
  ...
  [ 36  41  42]
  [ 39  44  43]
  [ 39  44  43]]

 [[196 145  95]
  [176 127  80]
  [151 107  68]
  ...
  [ 38  43  44]
  [ 40  45  44]
  [ 38  43  42]]

 [[161 112  64]
  [173 125  78]
  [171 128  89]
  ...
  [ 40  45  46]
  [ 42  47  46]
  [ 39  44  43]]

 ...

 [[197 190 172]
  [245 241 215]
  [254 238 206]
  ...
  [249 219 164]
  [249 219 165]
  [231 205 153]]

 [[251 246 218]
  [247 223 190]
  [241 206 171]
  ...
  [245 211 158]
  [230 199 148]
  [202 173 125]]

 [[241 213 176]
  [248 209 171]
  [248 199 164]
  ...
  [228 190 140]
  [194 161 115]
  [244 216 170]]]",[1. 0. 0.]
"[[[ 67  64  60]
  [130 127 122]
  [169 166 159]
  ...
  [132 127 142]
  [133 129 143]
  [132 132 144]]

 [[111 107 102]
  [136 132 127]
  [151 146 140]
  ...
  [123 119 135]
  [121 119 133]
  [119 119 132]]

 [[116 112 107]
  [122 118 113]
  [136 131 125]
  ...
  [110 108 125]
  [106 105 121]
  [104 105 119]]

 ...

 [[ 62  66 144]
  [ 65  68 146]
  [ 65  68 139]
  ...
  [ 75  60  54]
  [ 67  54  47]
  [ 60  51  43]]

 [[ 64  69 143]
  [ 63  67 143]
  [ 62  67 141]
  ...
  [ 98  92  87]
  [ 90  86  78]
  [ 93  91  80]]

 [[ 68  74 139]
  [ 70  75 143]
  [ 70  77 143]
  ...
  [100  98  96]
  [ 94  92  85]
  [103 101  90]]]",[0. 1. 0.]
"[[[135 135 131]
  [141 139 135]
  [134 129 123]
  ...
  [ 61  74  86]
  [ 55  65  75]
  [ 42  52  62]]

 [[ 96 100  98]
  [105 105 103]
  [ 89  84  79]
  ...
  [ 56  67  79]
  [ 53  62  73]
  [ 42  51  60]]

 [[106 112 111]
  [101 103 100]
  [106 100  95]
  ...
  [ 48  59  69]
  [ 46  55  65]
  [ 41  49  59]]

 ...

 [[ 62  62  61]
  [ 61  58  58]
  [ 65  61  62]
  ...
  [108 130 164]
  [109 132 165]
  [115 138 171]]

 [[ 62  63  63]
  [ 56  59  59]
  [ 53  55  55]
  ...
  [109 132 167]
  [110 132 167]
  [114 136 171]]

 [[ 58  62  62]
  [ 50  55  56]
  [ 50  57  57]
  ...
  [114 137 174]
  [114 136 172]
  [116 138 173]]]",[1. 0. 0.]
"[[[204 175 138]
  [200 177 148]
  [188 171 156]
  ...
  [ 33  43  58]
  [ 35  44  55]
  [ 39  46  55]]

 [[205 176 139]
  [201 177 149]
  [188 172 156]
  ...
  [ 32  43  59]
  [ 34  43  55]
  [ 38  46  55]]

 [[205 177 140]
  [200 178 149]
  [186 171 155]
  ...
  [ 30  42  60]
  [ 32  42  55]
  [ 36  45  55]]

 ...

 [[177 143 228]
  [176 143 225]
  [174 141 220]
  ...
  [118 137 180]
  [114 136 179]
  [112 135 179]]

 [[175 144 227]
  [173 142 222]
  [169 139 214]
  ...
  [113 133 176]
  [109 131 175]
  [106 129 174]]

 [[171 144 224]
  [168 141 217]
  [163 137 207]
  ...
  [107 127 172]
  [103 125 169]
  [100 123 168]]]",[1. 0. 0.]
"[[[ 85 103 140]
  [ 80  99 134]
  [ 88 102 134]
  ...
  [ 75  83 106]
  [ 73  81 104]
  [ 83  88 109]]

 [[ 84 103 138]
  [ 82 100 132]
  [ 86 101 131]
  ...
  [ 74  84 107]
  [ 74  84 106]
  [ 82  89 109]]

 [[ 83 100 134]
  [ 83 101 130]
  [ 81  97 125]
  ...
  [ 74  85 109]
  [ 75  87 109]
  [ 81  91 112]]

 ...

 [[ 54  71 104]
  [ 61  73 109]
  [ 66  75 113]
  ...
  [255 226 241]
  [245 213 232]
  [218 186 209]]

 [[ 60  78 110]
  [ 64  76 112]
  [ 70  79 117]
  ...
  [244 206 215]
  [255 233 242]
  [235 209 221]]

 [[ 62  80 111]
  [ 62  74 108]
  [ 69  79 116]
  ...
  [210 173 175]
  [255 227 228]
  [255 247 247]]]",[1. 0. 0.]
"[[[ 97 108 137]
  [ 99 110 142]
  [ 98 112 142]
  ...
  [ 33  38  41]
  [ 34  39  43]
  [ 33  39  45]]

 [[ 86  97 125]
  [ 94 105 133]
  [ 93 104 131]
  ...
  [ 35  41  48]
  [ 35  40  45]
  [ 39  43  47]]

 [[ 80  92 119]
  [ 81  93 118]
  [121 133 152]
  ...
  [ 42  48  55]
  [ 39  45  51]
  [ 39  43  48]]

 ...

 [[ 72  68  67]
  [ 72  68  67]
  [ 85  77  76]
  ...
  [ 41  59  88]
  [ 41  58  87]
  [ 41  58  85]]

 [[ 67  66  66]
  [ 76  72  69]
  [127 113 105]
  ...
  [ 42  58  88]
  [ 40  57  84]
  [ 37  54  81]]

 [[ 72  72  70]
  [144 137 132]
  [236 226 212]
  ...
  [ 40  57  86]
  [ 38  55  82]
  [ 35  53  79]]]",[1. 0. 0.]
"[[[146 109 203]
  [142 106 201]
  [138 104 199]
  ...
  [ 97 113 142]
  [124 140 169]
  [149 165 194]]

 [[147 110 202]
  [145 109 202]
  [144 108 202]
  ...
  [ 98 112 141]
  [129 144 173]
  [159 175 204]]

 [[148 113 204]
  [147 110 204]
  [145 108 203]
  ...
  [103 115 142]
  [140 153 179]
  [173 186 213]]

 ...

 [[160 119 193]
  [158 116 191]
  [155 114 189]
  ...
  [254 254 238]
  [254 255 234]
  [255 255 231]]

 [[165 122 195]
  [162 119 192]
  [158 115 190]
  ...
  [249 251 233]
  [252 253 234]
  [255 255 235]]

 [[154 112 183]
  [153 111 182]
  [153 111 182]
  ...
  [245 249 231]
  [250 252 236]
  [255 255 241]]]",[0. 1. 0.]
"[[[150 162 167]
  [139 150 158]
  [140 150 160]
  ...
  [ 19  37  61]
  [ 14  32  56]
  [ 18  36  59]]

 [[144 156 163]
  [143 155 164]
  [128 139 151]
  ...
  [ 13  31  57]
  [  9  26  52]
  [ 12  29  52]]

 [[139 152 157]
  [134 147 156]
  [100 111 126]
  ...
  [  6  23  51]
  [  6  22  48]
  [  6  22  45]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]]",[1. 0. 0.]
"[[[ 20  29  38]
  [ 22  34  44]
  [ 26  41  57]
  ...
  [ 76 112 167]
  [ 78 112 155]
  [ 65  95 130]]

 [[ 25  33  45]
  [ 28  39  54]
  [ 34  48  69]
  ...
  [ 69 107 164]
  [ 79 114 159]
  [ 72 105 142]]

 [[ 27  34  51]
  [ 30  41  61]
  [ 36  51  76]
  ...
  [ 70 109 168]
  [ 83 120 168]
  [ 80 114 155]]

 ...

 [[  0   0   0]
  [  3   0   0]
  [  7   2   2]
  ...
  [  1   2   1]
  [  1   1   0]
  [  1   1   1]]

 [[  1   1   1]
  [  5   1   0]
  [  7   2   1]
  ...
  [  0   0   0]
  [  0   0   0]
  [  1   1   1]]

 [[  1   1   1]
  [  4   0   0]
  [  5   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  1   1   1]]]",[0. 1. 0.]
"[[[ 42  46  54]
  [ 90  92  97]
  [134 133 136]
  ...
  [ 18  31  48]
  [ 18  31  46]
  [ 19  30  44]]

 [[ 34  41  48]
  [ 70  74  79]
  [113 115 117]
  ...
  [ 17  30  47]
  [ 16  28  44]
  [ 16  26  44]]

 [[ 24  32  40]
  [ 58  63  68]
  [ 98 103 103]
  ...
  [ 14  26  43]
  [ 13  25  42]
  [ 13  23  40]]

 ...

 [[ 12  11  13]
  [  7   6   8]
  [  3   2   4]
  ...
  [ 34  74 123]
  [ 35  75 125]
  [ 37  76 129]]

 [[  8   8  11]
  [  6   5   8]
  [  4   3   6]
  ...
  [ 40  78 128]
  [ 41  79 129]
  [ 43  79 133]]

 [[  5   4   8]
  [  4   2   6]
  [  5   4   8]
  ...
  [ 45  82 132]
  [ 46  83 133]
  [ 47  84 136]]]",[1. 0. 0.]
"[[[ 16  20  25]
  [ 36  40  48]
  [ 40  47  56]
  ...
  [ 33  65 112]
  [ 35  61 104]
  [ 30  53  90]]

 [[ 17  21  29]
  [ 36  41  50]
  [ 40  47  56]
  ...
  [ 37  74 126]
  [ 37  70 117]
  [ 32  59 103]]

 [[ 18  22  30]
  [ 37  42  51]
  [ 41  49  57]
  ...
  [ 39  77 134]
  [ 34  70 123]
  [ 31  62 111]]

 ...

 [[  0   4  50]
  [  0   2  13]
  [  5   7   3]
  ...
  [  9   9  11]
  [ 12  12  10]
  [ 11   9   5]]

 [[  7  20  99]
  [  0   0  32]
  [  1   3  11]
  ...
  [  2   3  14]
  [  2   2   8]
  [  2   2   3]]

 [[ 28  45 158]
  [  0   7  79]
  [  0   0  36]
  ...
  [  0   6  43]
  [  0   6  34]
  [  0   6  25]]]",[1. 0. 0.]
"[[[222 235 251]
  [215 229 247]
  [207 222 243]
  ...
  [163 169 176]
  [158 164 171]
  [153 160 169]]

 [[216 231 249]
  [207 223 244]
  [197 215 240]
  ...
  [168 174 181]
  [161 168 175]
  [155 162 171]]

 [[206 222 246]
  [195 214 240]
  [184 206 235]
  ...
  [174 180 188]
  [165 171 180]
  [158 165 174]]

 ...

 [[111 116 131]
  [102 107 125]
  [ 92  97 118]
  ...
  [  2   0   2]
  [  3   0   4]
  [  5   0   8]]

 [[106 110 125]
  [ 98 102 119]
  [ 92  97 116]
  ...
  [  3   0   1]
  [  3   0   3]
  [  4   0   5]]

 [[104 107 122]
  [ 95  99 116]
  [ 89  92 111]
  ...
  [  3   1   1]
  [  4   2   2]
  [  5   2   4]]]",[1. 0. 0.]
"[[[134 132 144]
  [127 127 140]
  [118 121 136]
  ...
  [  7  10  26]
  [ 15  18  32]
  [ 23  24  38]]

 [[130 130 142]
  [124 124 138]
  [116 118 134]
  ...
  [  6   8  26]
  [ 14  16  32]
  [ 22  22  38]]

 [[126 126 138]
  [120 121 135]
  [111 115 131]
  ...
  [  5   7  26]
  [ 13  14  31]
  [ 21  21  37]]

 ...

 [[130 114 114]
  [123 109 109]
  [115 102 103]
  ...
  [196 185 172]
  [198 190 174]
  [200 192 175]]

 [[130 114 112]
  [124 110 108]
  [117 104 103]
  ...
  [191 181 168]
  [196 187 172]
  [198 190 174]]

 [[130 113 110]
  [125 109 107]
  [119 105 103]
  ...
  [185 177 165]
  [192 185 171]
  [196 189 174]]]",[0. 1. 0.]
